level_0,index,Time_start,Time_end,Label_old,Label_X_old,Time_diff,Labels,changed_ids
0,0,0.0,1.876,s,,1.876,s,0
1,1,1.876,1.9869999999999999,p,s,0.1110000000000002,p,0
2,2,1.9869999999999999,2.097,s,p,0.10999999999999988,p,1
3,3,2.097,2.18,p,s,0.08300000000000017,p,0
4,4,2.18,2.6710000000000003,s,p,0.4909999999999997,s,0
5,5,2.6710000000000003,2.7430000000000003,p,s,0.07200000000000006,p,0
6,6,2.7430000000000003,3.0210000000000004,s,p,0.278,s,0
7,7,3.0210000000000004,3.275,p,s,0.254,p,0
8,8,3.275,4.47,s,p,1.1949999999999998,s,0
9,9,4.47,5.386,p,s,0.9160000000000004,p,0
10,10,5.386,5.9380000000000015,s,p,0.5520000000000005,s,0
11,11,5.9380000000000015,5.989,p,s,0.05099999999999927,p,0
12,12,5.989,6.152,s,p,0.16300000000000026,s,0
13,13,6.152,6.381,p,s,0.2290000000000001,p,0
14,14,6.381,6.965,s,p,0.5839999999999996,s,0
15,15,6.965,7.019,p,s,0.05400000000000027,p,0
16,16,7.019,7.272,s,p,0.2530000000000001,s,0
17,17,7.272,7.872999999999999,p,s,0.601,p,0
18,18,7.872999999999999,8.19,s,p,0.3169999999999993,s,0
19,19,8.19,8.44,p,s,0.25,p,0
20,20,8.44,8.936,s,p,0.4960000000000005,s,0
21,21,8.936,9.073,p,s,0.13700000000000045,p,0
22,22,9.073,9.908999999999999,s,p,0.8360000000000003,s,0
23,23,9.908999999999999,9.992,p,s,0.08300000000000017,p,0
24,24,9.992,11.448,s,p,1.4559999999999995,s,0
25,25,11.448,11.607999999999999,p,s,0.16000000000000014,p,0
26,26,11.607999999999999,11.868,s,p,0.2599999999999998,p,1
27,27,11.868,12.134,p,s,0.266,p,0
28,28,12.134,14.026,s,p,1.8919999999999997,s,0
29,29,14.026,14.255999999999998,p,s,0.23000000000000045,p,0
32,32,14.255999999999998,15.354000000000001,s,p,1.097999999999999,s,0
33,33,15.354000000000001,15.421,p,s,0.06700000000000017,p,0
34,34,15.421,16.105,s,p,0.684000000000001,s,0
35,35,16.105,16.156,p,s,0.05099999999999838,p,0
36,36,16.156,17.146,s,p,0.9900000000000021,s,0
37,37,17.146,17.594,p,s,0.4480000000000004,p,0
38,38,17.594,17.7,s,p,0.1059999999999981,p,1
39,39,17.7,18.742,p,s,1.0420000000000016,p,0
40,40,18.742,21.929000000000002,s,p,3.1869999999999976,s,0
41,41,21.929000000000002,22.418000000000003,p,s,0.4890000000000008,p,0
42,42,22.418000000000003,24.061999999999998,s,p,1.6440000000000021,s,0
